published,headlines,articles
2022/05/31,"Forces Battle for Ukraine City, as E.U. Ratchets Up Responses","BRUSSELS — Russian troops battled their way into the devastated Ukrainian city of Sievierodonetsk on Tuesday, as their slow, brutal offensive in eastern Ukraine shifted from indiscriminate shelling to street fighting, with thousands of civilians still trapped among the ruins.

With Moscow pressing its advance despite heavy losses, Ukraine’s allies looked to new ways to raise the price Russia pays for aggression, while easing the pain it causes elsewhere. A day after the European Union agreed to ban most Russian oil imports, the bloc’s focus shifted to aiding Ukraine and helping it resume food exports that are vital to feeding the world.

Wrapping up a two-day summit meeting in Brussels, E.U. leaders agreed to $9.7 billion in aid to Ukraine this year, albeit with demands attached to fight the corruption that has plagued the country. And Ursula von der Leyen, president of the E.U. executive commission, said the developing global food crisis is “only the fault of Russia,” which has seized or blockaded all of Ukraine’s Black Sea ports."
2022/06/01,"Putin’s Threats Highlight the Dangers of a New, Riskier Nuclear Era","WASHINGTON — The old nuclear order, rooted in the Cold War’s unthinkable outcomes, was fraying before Russia invaded Ukraine. Now, it is giving way to a looming era of disorder unlike any since the beginning of the atomic age.

Russia’s regular reminders over the past three months of its nuclear might, even if largely bluster, were the latest evidence of how the potential threat has resurfaced in more overt and dangerous ways. They were enough to draw a pointed warning to Moscow on Tuesday from President Biden in what amounted to a tacit acknowledgment that the world had entered a period of heightened nuclear risks.

“We currently see no indication that Russia has intent to use nuclear weapons in Ukraine, though Russia’s occasional rhetoric to rattle the nuclear saber is itself dangerous and extremely irresponsible,” Mr. Biden wrote in a guest opinion essay in The New York Times. “Let me be clear: Any use of nuclear weapons in this conflict on any scale would be completely unacceptable to us as well as the rest of the world and would entail severe consequences.”"
2022/06/01,Two Telling Numbers,"In the Opinion section, President Biden has published an essay explaining that his administration will continue to send weapons to Ukraine but not troops. In the essay, he announces that the U.S. will send longer-range missiles to Ukraine than it previously has.

Alongside those pieces, we’re using today’s newsletter to give you an overview of the war.

A Russian pincer

The big question over the next several weeks — according to our colleague Julian Barnes, who covers U.S. intelligence agencies — will be whether Russia can encircle Ukraine’s forces in Donbas. If Russia can, the Ukrainian troops could be cut off from the rest of the country and suffer heavy losses. Russia might then be in position to take control of nearly all of Donbas.

“Intelligence officials have repeatedly said, both publicly and privately, that this next phase is going to be very important in setting the tenor for the war in the months to come,” Julian said. “It will determine whether we stay in something approximating a stalemate or if one side gets the upper hand.”

In the war’s early weeks, Russia tried to move quickly and capture large sections of territory. Its military proved incapable of doing so, rebuffed by Ukrainian troops, with help from weapons provided by the U.S., E.U. and other allies. In the war’s current phase, Russia has emphasized a strategy from other recent wars, in Syria and Chechnya: using missiles and other heavy artillery to bombard cities and towns and eventually take them over."
2022/05/31,"U.S. to Send Ukraine $700 Million in Military Aid, Including Advanced Rockets","That has proved to be a tricky line to walk for the president and his advisers since Mr. Putin sent his troops into Ukraine nearly 100 days ago.

In his article on Tuesday, Mr. Biden described his administration’s resolve to support Ukraine in its attempts to repel Russian invaders. But Mr. Biden also offered specific assurances for Mr. Putin that the United States does not intend to provoke a wider conflict or the use of weapons of mass destruction.

“We currently see no indication that Russia has intent to use nuclear weapons in Ukraine, though Russia’s occasional rhetoric to rattle the nuclear saber is itself dangerous and extremely irresponsible,” Mr. Biden wrote. “Let me be clear: Any use of nuclear weapons in this conflict on any scale would be completely unacceptable to us as well as the rest of the world and would entail severe consequences.”

Mr. Biden stated bluntly in his article that he did not seek to overthrow Mr. Putin, despite his off-the-cuff remarks during a speech in Poland earlier this year, when he said the Russian president “cannot remain in power.” On Tuesday, Mr. Biden presented a different view."
2022/05/28,Diplomats Fear Russia May Use Syrian Aid as Bargaining Chip in Ukraine,"An international pressure campaign to keep the route open is now underway. The United States is presiding over the Security Council this month and has held a series of meetings touching on the plight of Syrians who have become homeless or otherwise need assistance to survive.

Russia’s deputy U.N. ambassador, Dmitry Polyanskiy, said Moscow had not decided how it would vote. But in an interview on Friday, he said that under the current system, the aid was vulnerable to extremists in Idlib.

“I do not deny that it goes to refugees as well, but the terrorist groups — they benefit from this,” he said, adding that the extremists had attacked deliveries.

Mr. Polyanskiy would not discuss negotiations to keep the corridor open, except to say that talks between Russia and the United States were stagnant, given “current geopolitical circumstances.”

“Frankly, we don’t have very many things to make us optimistic at this stage,” he said.

But three foreign diplomats said Russia had sent vague signals suggesting it might try to use the vote to gain concessions in the standoff over Ukraine. The United States and European countries have imposed a variety of sanctions on Russia to punish the country for invading its neighbor.

The diplomats would not describe the signals in detail and said Moscow had stopped short of directly tying the corridor’s fate to the war in Ukraine. But they said they believed Moscow would lean on countries that would be directly affected by a new wave of refugees for help in evading the sanctions."
2022/05/30,"For NATO, Turkey Is a Disruptive Ally","WASHINGTON — When President Recep Tayyip Erdogan of Turkey threatened this month to block NATO membership for Finland and Sweden, Western officials were exasperated — but not shocked.

Within an alliance that operates by consensus, the Turkish strongman has come to be seen as something of a stickup artist. In 2009, he blocked the appointment of a new NATO chief from Denmark, complaining that the country was too tolerant of cartoons of the Prophet Muhammad and too sympathetic to “Kurdish terrorists” based in Turkey. It took hours of cajoling by Western leaders, and a face-to-face promise from President Barack Obama that NATO would appoint a Turk to a leadership position, to satisfy Mr. Erdogan.

After a rupture in relations between Turkey and Israel the next year, Mr. Erdogan prevented the alliance from working with the Jewish state for six years. A few years later, Mr. Erdogan delayed for months a NATO plan to fortify Eastern European countries against Russia, again citing Kurdish militants and demanding that the alliance declare ones operating in Syria to be terrorists. In 2020, Mr. Erdogan sent a gas-exploration ship backed by fighter jets close to Greek waters, causing France to send ships in support of Greece, also a NATO member."
2022/05/27,Why the Once-Hawkish Heritage Foundation Opposed Aid to Ukraine,"On Thursday, Mr. Roberts published a podcast interview with Senator Josh Hawley of Missouri, one of only 11 Senate Republicans to oppose the Ukraine aid package and the author of a recent op-ed entitled “No to Neoconservatism.”

“Neither you, nor we, intend any opposition to an aid package to be dismissive of the heroism that we’ve seen in Ukraine,” Mr. Roberts told Mr. Hawley. “But I can at least speak for Heritage and say, ‘We’ve had enough of business as usual.’”

The core tenets of the organization have long been grounded in promoting free enterprise, limited government and strong national defense. But it has increasingly fed off the rising populism in the party, first during the ascent of the Tea Party and then during the Trump administration, stocking some of the most prominent members of Mr. Trump’s cabinet and boasting that nearly two-thirds of its ideas had been carried out or embraced by his White House during his first year in office.

“What was so surprising about this moment was Heritage, which has always been tough on Russia, strong on NATO and guided by the mantra of ‘What Would Reagan Do?’ took a very odd turn,” said Eric Sayers, a current nonresident at the American Enterprise Institute who began his career at Heritage as a junior staff member.

The move, Mr. Sayers said, reflected the ascendancy in the organization “of more populist forces focused more on following the right than leading it.”

Mr. Roberts, who referred to himself in an interview as a “recovering neocon,” said Heritage’s stance on the aid package reflected “a real skepticism among the conservative grass-roots about the entrenched conservative foreign policy leadership.”"
2022/05/19,"U.S. Aims to Cripple Russian Oil Industry, Officials Say","But sanctions have a mixed record. Severe economic isolation has done little to change the behavior of governments from Iran to North Korea to Cuba and Venezuela.

One measure American officials are discussing would require foreign companies to pay a below-market price for Russian oil — or suffer U.S. sanctions. Washington would assign a price for Russian oil that is well under the global market value, which is currently more than $100 per barrel. Russia’s last budget set a break-even price for its oil above $40. A price cap would reduce Russia’s profits without increasing global energy costs.

The U.S. government could also cut off most Russian access to payments for oil. Washington would do this by issuing a regulation that requires foreign banks dealing in payments to put the money in an escrow account if they want to avoid sanctions. Russia would be able to access the money only to purchase essential goods like food and medicine.

And as those mechanisms are put in place, U.S. officials would press nations to gradually decrease their purchases of Russian oil, as they did with Iranian oil.

“There wouldn’t be a ban on Russian oil and gas per se,” said Maria Snegovaya, a visiting scholar at George Washington University who has studied sanctions on Russia. “Partly this is because that would send the price skyrocketing. Russia can benefit from a skyrocketing price.”

But enforcing escrow payments or price caps globally could be difficult. Under the new measures, the United States would have to confront nations that are not part of the existing sanctions coalition and, like India and China, want to maintain good relations with Russia."
2022/05/19,"Chinese Hackers Tried to Steal Russian Defense Data, Report Says","Under China’s authoritarian leader, Xi Jinping, Beijing has refined its approach to cyberspying, transforming over the past decade into a far more sophisticated actor. China’s premier spy agency, borrowing a page from Russia, has recruited beyond its ranks, pulling from the country’s growing pool of tech workers. The strategy has made its attacks more scattershot and unpredictable, but analysts say it has also helped strengthen the country’s efforts, enabling spies to run stealthy attacks that target intellectual property as well as political and military intelligence around the world.

Mr. Xi has made improving China’s scientific and technical capabilities a priority in the coming years, with ambitions of becoming a global leader in high-tech fields such as robotics, medical equipment and aviation. The campaign targeting Russian defense research institutes “might serve as more evidence of the use of espionage in a systematic and long-term effort to achieve Chinese strategic objectives in technological superiority and military power,” Check Point’s report said.

More recently, hackers based in China, like their counterparts elsewhere, have taken advantage of the war in Ukraine to break into the computer systems of organizations across Europe. Hackers have preyed upon heightened anxiety about the invasion, tricking their victims into downloading documents that falsely claim to contain information about the war or pose as aid organizations raising money for charity.

Many of the attacks originating from China appear to be focused on gathering information and intellectual property, rather than on causing chaos or disruption that could sway the conflict in favor of Ukraine or Russia, security researchers said.

In late March, Chinese hackers began going after Ukrainian organizations, according to security researchers and an announcement from Ukraine’s cybersecurity agency. A hacking team known as Scarab sent a document to Ukrainian organizations that offered instructions on how to film evidence of Russian war crimes but also contained malware that could extract information from infected computer systems, researchers at the security firm SentinelOne said.

Also in March, another hacking team affiliated with China, which security researchers have called Mustang Panda, created documents that purported to be European Union reports on conditions at the borders of Ukraine and Belarus, and emailed them to potential targets in Europe. But the documents contained malware, and victims who were tricked into opening them inadvertently allowed the hackers to infiltrate their networks, researchers at Google and the security firm Cisco Talos said."
2022/05/20,"On Ukraine, McConnell Tries to Show the World This Isn’t Trump’s G.O.P.","This interview has been edited and condensed for clarity.

Why did you decide to make the trip to Europe last weekend?

One was to try to convey to the Europeans that skepticism about NATO itself, expressed by the previous president, was not the view of Republicans in the Senate. And I also was trying to minimize the vote against the package in my own party.

We have sort of an isolationist wing, and I think some of the Trump supporters are sort of linked up with the isolationists — a lot of talk out in the primaries about this sort of thing. And I felt this would help diminish the number of votes against the package. I think that worked out well.

I’d had a private dinner with the president of Finland back in March, right after the invasion, so we’d sort of developed a relationship. So we decided to head up to Stockholm and Helsinki. These are incredibly important admissions to NATO. They both have great militaries. They’re both independent of Russian energy. If anybody’s ready to be a part of NATO, these two countries are, so it was exciting to be there.

I think the trip helped convince Europeans that Republicans are the way we used to be on NATO.

Did you personally lobby individual senators to try to allay some of their concerns about the aid bill?

I certainly was talking about it for the last two weeks to my own colleagues. I said, No. 1, this is a pittance compared to the $2 trillion the Democrats dumped on the economy last year, producing 40-year-high inflation. If ever there were a reason where for an expenditure of this amount, this is it. And if the Russians succeeded, it would cost us a lot more. So yes, I was arguing for support for the package."
2022/05/20,G7 nations pledge $20 billion to Ukraine.,"KÖNIGSWINTER, Germany — The Group of 7 economic powers agreed on Friday to provide nearly $20 billion to support Ukraine’s economy over the coming months to help keep the country’s government running while it fights to repel a Russian invasion.

In a joint statement after two days of meetings, finance ministers from the Group of 7 affirmed their commitment to help Ukraine with a mix of grants and loans. Ukraine needs approximately $5 billion per month to maintain basic government services, according to the International Monetary Fund.

The $19.8 billion of financing was agreed on after the United States, which is contributing more than $9 billion in short-term financing, pressed its allies to do more to help secure Ukraine’s future. The statement did not break down how much the other Group of 7 nations will contribute."
2022/05/19,Biden Seeks Swift Effort to Bring Finland and Sweden Into NATO,"Under an agreement with the Soviet Union, Finland stayed outside the alliance, which was created to contain Russia after World War II. It remained independent in the post-Soviet era even after joining the European Union and growing ever closer with the West. Until now, Sweden had kept to more than 200 years of neutrality.

But that posture has been quickly abandoned after Mr. Putin’s decision in February to invade Ukraine, which is not a NATO member. Both Finland and Sweden suddenly realized that the threat from Russia had changed and that their status as a bystander to great-power conflict was now a huge risk.

The speed of the reversal has been so great that there has been virtually none of the debate that took place after the fall of the Berlin Wall in 1989, when even some of Washington’s most experienced Cold War diplomats warned that the more Russia felt encircled, the higher the chances that it might eventually lash out, especially if the effort to integrate the country with the West failed.

On Wednesday, Mr. Sullivan said that Mr. Biden had asked his national security officials whether they backed the addition of Finland and Sweden to the alliance and that they had “emphatically supported” the move in a unanimous fashion.

The Rose Garden ceremony deliberately contained echoes of a state visit, complete with a military band. Mr. Biden characterized the move to usher Finland and Sweden into the alliance as almost a formality, noting that both countries had contributed forces to conflicts in Kosovo, Afghanistan and Iraq — the major NATO commitments of the past 20 years — and that they were strong democracies that “meet every NATO requirement and then some.”

Mr. Biden argued that the two countries would add to the alliance’s firepower.

Finland has a sophisticated military that runs complex operations to track Russian activity in the seas of Northern Europe and spends heavily on modern equipment. Sweden is a more difficult case: It dismantled some of its military power and, as Ms. Andersson conceded, would have to reorient its budget to spend 2 percent of gross domestic product on defense, the target for NATO members."
2022/05/19,"The Senate overwhelmingly approves $40 billion in aid to Ukraine, sending it to Biden.","Determined to project strong bipartisan support for Kyiv, Senator Mitch McConnell, Republican of Kentucky and the minority leader, worked for days leading up to the vote to tamp down on the anti-interventionist strain in his party, arguing both privately and publicly to his colleagues that the United States needed to aid a young democracy standing between Russian aggression and the Western world.

The pinnacle of that effort came over the weekend, when Mr. McConnell traveled to Kyiv, Ukraine, Stockholm and Helsinki, Finland, in what he said was partly a bid to push back on former President Donald J. Trump’s hostility toward NATO and the aid legislation itself. When Mr. Trump announced his opposition to the $40 billion package, Mr. McConnell said, he worried that he “could lose a lot more than 11” Republican votes.

The trip was designed “to convey to the Europeans that skepticism about NATO itself, expressed by the previous president, was not the view of Republicans in the Senate,” Mr. McConnell said in an interview. “And I also was trying to minimize the vote against the package in my own party.”

“We have a sort of an isolationist wing,” he continued. “And I think some of the Trump supporters have sort of linked up with the isolationists — a lot of talk out in the primaries about this sort of thing. I felt this would help diminish the number of votes against the package. I think that worked out well.”

Most of the Republicans regarded as presidential prospects in 2024 — Senators Ted Cruz of Texas, Tom Cotton of Arkansas, Tim Scott of South Carolina, and Marco Rubio of Florida — backed the legislation even in the face of opposition from right-wing organizations.

In a 24-minute speech on the Senate floor, announcing his vote on Wednesday night, Mr. Cruz said he had carefully listened to a litany of arguments against the aid bill, including that it was too expensive and bloated with provisions unrelated to military aid, and that it was not in America’s security interest to counter Russia’s campaign when there were so many domestic problems at home."
2022/05/19,"The Senate is expected to pass a $40 billion aid package for Ukraine, sending it to Biden.","The Senate is set on Thursday to give final approval to a $40 billion emergency military and humanitarian aid package for Ukraine, as the United States deepens its support for an increasingly costly and protracted fight against a Russian invasion.

The measure is the largest foreign aid package passed by Congress in at least two decades, and its enactment would bring the American investment in the war to roughly $54 billion in just over two months. The Senate was expected to approve it overwhelmingly, in the latest reflection of the remarkable bipartisan support on Capitol Hill for a massive investment in Ukraine’s war effort, which propelled the spending package through the House last week.

President Biden was expected to quickly sign it into law. His administration and Ukrainian leaders have pressed hard for its swift enactment, warning that they would run out of aid by Thursday if Congress failed to act."
2022/05/19,G7 Finance Ministers Race to Secure More Ukraine Aid,"KÖNIGSWINTER, Germany — Top economic officials from the world’s advanced economies moved closer toward agreement on a global rescue package for Ukraine on Thursday, with finance leaders negotiating the details of a multibillion-dollar plan to keep the Ukrainian government operating amid Russia’s onslaught.

Finance ministers of the Group of 7 nations expressed optimism about the emergency financing deal on the first day of a two-day summit, where they are focused on how to provide aid to Ukraine and exert pressure on Russia while avoiding economic blowback that will slow the global economy. Officials have been consumed with how to contain rising food and energy prices that have some economists worrying about a global recession.

Treasury Secretary Janet L. Yellen said at the end of the first day of meetings that the G7 was prepared to spend what is necessary to help Ukraine."
2022/07/29,Brittney Griner and the Total Lopsidedness of Prisoner Swaps with Russia,"Reports are circulating that the United States is negotiating with Russia to exchange two Americans being held in Russian prisons for a notorious arms dealer serving time in America. The deal is totally lopsided: The two Americans — the basketball star Brittney Griner and Paul Whelan, a security company executive — are not criminals and certainly not remotely comparable to Viktor Bout, a notorious purveyor of arms to terrorists once known as the “Merchant of Death.”

But if that’s the way to get American citizens out of a Russian prison, do it. The only caveat, an urgent one, would be to include in the deal Marc Fogel, an American teacher sentenced to an absurd 14 years in prison for taking marijuana into Russia. His infractions are similar to the ones Ms. Griner, 31, is charged with. She was detained in February with two hashish oil vape cartridges in her luggage; Mr. Fogel, 61, was carrying 14 vape cartridges of marijuana and some cannabis buds.

Both say they need cannabis for dealing with injuries and pain. But for reasons the State Department has not clarified, the U.S. government has designated Ms. Griner and Mr. Whelan as “wrongfully detained” but not Mr. Fogel. Secretary of State Antony Blinken did not mention this third American prisoner during a recent news conference, in which he said he intended to take up the matter of a swap for Ms. Griner and Mr. Whelan with Foreign Minister Sergey Lavrov of Russia."
